magJ,name,radius,spectraltype,magB,magV,temperature,magK,mass,metallicity,magH,planets
4.640,HD 219077,1.91,G8 V+,6.91,6.12,5362.0,4.287,1.05,-0.13,4.124,1.0
3.86,HD 219134,0.778,K3V,6.560,5.570,4699,3.40,0.81,0.11,3.40,7.0
7.023,HD 219415,2.9,K0 III,9.90,8.91,4820,6.421,1.0,-0.04,6.532,1.0
6.871,HD 219828,1.7,G0IV,8.68,8.01,5891,6.530,1.23,0.19,6.614,2.0
3.182,HD 220074,49.7,K1 V,8.070,6.4,5080,2.006,1.2,-0.25,2.373,1.0
6.653,HD 220689,1.07,G3V,8.355,7.77,5940.0,6.326,1.01,0.00,6.407,1.0
6.001,HD 220773,,F9,7.708,7.09,5940.0,5.651,1.16,0.09,5.712,1.0
6.847,HD 220842,,F8,8.572,7.99,5960,6.555,1.13,-0.17,6.627,1.0
6.843,HD 221287,,F7 V,8.31,7.82,6304.0,6.569,1.25,0.03,6.616,1.0
6.157,HD 221585,,G8IV,8.18,7.44,5620,5.781,1.19,0.29,5.841,1.0
,HD 222076,4.14,,,,4806.0,,1.07,0.05,,1.0
5.885,HD 222155,1.67,G2V,7.76,7.1,5765.0,5.510,1.13,-0.11,5.579,1.0
6.522,HD 222582 A,1.15,G5,8.34,7.7,,6.173,0.99,-0.0229,6.243,1.0
,HD 222582 B,,M3.5V,,,,,0.2,,,0.0
,HD 224538,1.34,F9IV/V,,,6097.0,,1.54,0.27,,1.0
7.136,HD 224693,1.7,G2IV,8.87,8.23,6037.0,6.808,1.33,0.343,6.882,1.0
7.149,HD 22781,,K0V,9.628,8.77,5027.0,6.607,0.75,-0.37,6.686,1.0
6.03,HD 23079,1.13,F8/G0 V,7.68,7.1,5848.0,5.705,1.1,-0.24,5.814,1.0
7.423,HD 23127,,G2V,9.26,8.58,5927.0,7.087,1.13,0.34,7.182,1.0
7.952,HD 231701,1.35,F8V,9.486,8.97,6208.0,7.657,1.14,0.07,7.719,1.0
8.660,HD 233604,10.9,K5,11.33,10.29,4791,7.979,1.50,-0.36,8.131,1.0
6.173,HD 23596,2.09,F8,7.85,7.24,5888.0,5.874,1.27,0.32,5.962,1.0
5.306,HD 240210,,K3III,9.88,8.27,4297,4.388,0.82,-0.18,4.587,1.0
5.105,HD 240237,32,K2III,9.86,8.17,4361,4.319,1.69,-0.26,4.472,1.0
6.28,HD 24040,1.154,G0,8.18,7.52,5853,5.97,1.18,0.206,6.04,1.0
4.317,HD 24064,38.0,K0,8.23,6.72,4052.5,3.130,1.0,-0.49,3.432,1.0
6.765,HD 25171,1.18,F8V,8.293,7.79,6160.0,6.489,1.09,-0.11,6.570,1.0
6.715,HD 2567,,G0,8.40,7.76,,6.369,,,6.459,0.0
7.96,HD 2638,,G5,10.33,9.44,5192,7.47,0.87,0.16,7.42,1.0
10.46,HD 2638 C,,M1V,,,,9.46,0.46,,,0.0
2.93,HD 26965,0.812,K0V,5.25,4.43,5072,2.41,0.78,-0.42,2.48,1.0
9.849,40 Eri B,0.01308,DA2.9,9.83,9.53,17200,9.861,0.575,,9.986,0.0
6.747,40 Eri C,,M4.5V,12.85,11.17,,5.962,0.2041,-0.21,6.28,0.0
2.37,HD 27442 A,6.6,K2 IV a,5.517,4.44,,1.75,1.2,0.22,1.81,1.0
,HD 27442 B,,,,,,,0.75,,,0.0
7.023,HD 27631,1.0,G3 IV/V,8.914,8.25,5737,6.646,0.94,-0.12,6.719,1.0
,HD 27894,,K2 V,10.42,9.36,4875.0,,0.8,0.3,,1.0
6.578,HD 28185,1.03,G5,8.52,7.81,5482.0,6.185,1.24,0.24,6.289,1.0
6.395,HD 28254,1.48,G1IV/V,8.44,7.71,5664.0,6.006,1.06,0.36,6.13,1.0
8.365,HD 285507,0.656,K4,11.670,10.473,4503,7.665,0.734,0.13,7.811,1.0
6.447,HD 28678,6.2,K0,9.43,8.54,5076.0,5.775,1.74,-0.11,5.942,1.0
,HD 29021,0.85,G5,,,5560.0,,0.85,-0.24,,1.0
7.683,HD 290327,1,G8V,9.73,8.96,5552.0,7.271,0.9,-0.11,7.404,1.0
4.264,HD 2952,12.02,K0III,6.961,5.930,4844,3.629,2.5,0.00,3.779,1.0
7.15,HD 30177,1.12,G8 V,9.18,8.41,5320.0,6.715,0.95,0.19,6.829,1.0
4.98,HD 30562,1.53,F8V,6.40,5.77,5861.0,4.310,1.23,0.29,4.57,1.0
7.754,HD 30669,0.91,G9 V,9.93,9.11,5400,7.329,0.92,0.13,7.390,1.0
6.255,HD 30856,4.2,K0,8.872,8.07,4982.0,5.657,1.35,-0.06,5.798,1.0
6.060,HD 31253,1.71,F8,7.712,7.13,5960,5.792,1.23,0.16,5.839,1.0
6.373,HD 31527,,G0V,8.071,7.48,5940.0,6.049,,,6.048,3.0
,HD 3167,,G,,8.94,5367.0,,0.88,0.0,,2.0
4.531,HD 32518,10.22,K1III,7.530,6.44,4580,3.911,1.13,-0.15,3.992,1.0
6.420,HD 32963,,G3V,8.22,7.59,5727,6.024,0.94,0.11,6.098,1.0
,HD 330075,,G5,10.23,9.36,6295.0,,0.95,0.03,,1.0
6.345,HD 33142,4.2,K0 III,8.905,8.13,5052,5.792,1.620,0.05,5.903,2.0
6.983,HD 33283,1.2,G3V,8.640,8.05,5995.0,6.646,1.24,0.366,6.729,1.0
4.416,HD 33564,1.1,F6 V,5.547,5.08,6250.0,3.911,1.25,-0.12,4.201,1.0
5.574,HD 33844,5.29,K0 III,8.33,7.29,4861,4.945,1.78,0.27,5.132,2.0
,HD 34445,1.38,G0 V,7.97,7.33,5836,,1.07,0.14,,6.0
6.606,HD 35759,,G0,8.33,7.74,6060,6.319,1.15,0.04,6.388,1.0
4.549,HD 3651,0.947,K0 V,6.72,5.8,5173.0,3.999,0.79,0.05,4.064,2.0
6.359,HD 37124,0.82,G4 V,8.35,7.68,5610.0,5.952,0.83,-0.442,6.021,3.0
7.27,HD 37605,,K0V,9.52,8.69,5448.0,6.82,1.00,0.39,6.92,2.0
5.645,HD 38283,,F9.5V,7.26,6.7,5945.0,5.267,1.085,-0.24,5.339,1.0
4.91,HD 38529 A,2.44,G4 IV,6.684,5.94,,4.21,1.48,0.27,4.38,2.0
,HD 38529 B,,M3.0V,,,,,0.5,,,0.0
6.800,HD 38801,2.53,K0IV,9.14,8.26,5222.0,6.279,1.36,0.26,6.372,1.0
5.260,HD 38858,,G4V,6.59,5.97,5940.0,4.405,,,4.595,1.0
4.87,HD 39091,1.10,G0V,6.25,5.67,6037,4.241,1.094,0.08,4.42,2.0
6.598,HD 39194,,K0V,8.841,8.08,5150.0,6.094,,,6.212,3.0
7.280,HD 39392,,F8,8.94,8.38,5951,6.946,1.08,-0.32,7.012,1.0
5.412,HD 40307,,K2.5V,8.097,7.17,4977,4.793,0.77,-0.31,4.968,6.0
5.74,HD 40979 A,1.21,F8 V,7.29,6.74,,5.45,1.1,0.194,5.51,1.0
,HD 40979 B,,K5,,,,,0.833,,,0.0
,HD 40979 C,,,,,,,0.380,,,0.0
7.004,HD 41004 A,,M2,9.49,12.33,5035.0,6.43,0.4,-0.09,6.55,1.0
,HD 41004 B,,K1V,,,,,0.7,,,0.0
,HD 41004 B b,,,,,,,0.0181410,,,0.0
6.672,HD 4113 A,,G5V,8.61,7.880,5688,6.289,1.05,0.2,6.345,1.0
21.6,HD 4113 C,,T9,,,,,0.06279,,19.7,0.0
9.447,HD 4113 B,,M0-1V,14.19,12.70,3833,8.539,0.55,,8.74,0.0
7.606,HD 41248,0.78,G2V,9.42,8.82,5713,7.277,0.92,-0.43,7.284,2.0
,HD 42012,0.82,K0,,,5405.0,,0.83,-0.09,,1.0
7.39,HD 4203,1.33,G5,9.444,8.687,5702,7.05,1.130,0.453,7.11,2.0
6.57,HD 4208,0.85,G5 V,8.46,7.79,5571.0,6.163,0.87,-0.284,6.24,1.0
5.701,HD 42618,0.999,G4V,7.496,6.839,5727,5.301,1.015,-0.09,5.385,1.0
5.366,HD 4308,0.92,G5 V,7.193,6.54,5597.0,4.945,0.85,-0.34,5.101,1.0
6.159,HD 4313,4.9,G5 D,8.788,7.83,5035.0,5.595,1.72,0.14,5.774,1.0
7.658,HD 43197,1,G8V,9.79,8.95,5508.0,7.203,0.96,0.4,7.328,1.0
6.976,HD 43691,,G0IV,8.59,8.03,6200.0,6.700,1.38,0.28,6.777,1.0
6.509,HD 44219,1.32,G2V,8.36,7.69,5752.0,6.115,1,0.03,6.215,1.0
5.219,HD 45184,,G1.5V,6.99,6.37,5940.0,4.871,,,4.962,1.0
6.587,HD 45350,1.27,G5 IV,8.62,7.88,5754.0,6.224,1.02,0.29,6.279,1.0
6.748,HD 45364,,K0V,8.82,8.08,5434.0,6.316,0.82,-0.17,6.380,2.0
6.703,HD 45652,,G8-K0,8.96,8.1,5312.0,6.263,0.83,0.29,6.316,1.0
6.45,HD 46375 A,1,K1 IV,8.70,7.94,5199.0,6.00,0.91,0.24,6.07,1.0
,HD 46375 B,,K9.5-M1.5,,,,,0.58,,,0.0
6.416,HD 47186,,G5V,8.36,7.8,5675.0,6.005,0.99,0.23,6.100,2.0
4.338,HD 4732,5.4,K0 IV,6.84,2.04,4959,3.691,1.74,0.01,3.717,2.0
4.504,HD 47366,7.30,K1 III,7.096,6.106,4866,4.055,1.81,-0.02,3.962,2.0
3.179,HD 47536,23.47,K1 III,6.43,5.25,4380.0,2.383,0.99,-0.65,2.471,2.0
6.842,HD 48265,,G5V,8.78,8.07,5940.0,6.449,0.93,0.17,6.529,1.0
,HD 49674,0.94,G5 V,8.83,8.1,5482.0,,1.07,0.25,,1.0
,HD 50499,1.38,G0/2V,7.82,7.22,5902,,1.280,0.23,,1.0
5.776,HD 50554,1.11,F8,7.41,6.86,5902.0,5.467,1.04,-0.07,5.516,1.0
6.813,HD 51608,,K0IV,8.947,8.17,5150.0,6.328,,,6.451,2.0
5.242,HD 52265,1.25,G0 V,6.837,6.3,6159.0,4.953,1.2,0.21,5.033,1.0
6.348,HD 5319,3.26,G5IV,9.03,8.05,5052.0,5.699,1.51,0.15,5.864,2.0
5.813,HD 5583,9.09,K0,8.54,7.60,4830,5.221,1.01,-0.50,5.340,1.0
4.478,HD 5608,5.5,K0IV,6.990,5.999,4854,3.826,1.55,0.06,3.880,1.0
7.218,HD 564,1.01,G2,8.90,8.29,5902,6.893,0.961,-0.2,6.983,1.0
6.239,HD 5891,8.7,G5D,9.11,8.11,4907.0,5.621,1.91,-0.02,5.725,1.0
3.630,HD 59686 A,13.2,K2 III,6.585,5.45,4658,2.922,1.9,0.15,3.065,1.0
,HD 59686 B,,,,,,,0.5296,,,0.0
3.703,HD 60532,,F6IV-V,4.94,4.45,6095.0,3.355,1.44,-0.26,3.318,2.0
,HD 62509,9.3,K0IIIb,2.15,1.15,4666.0,,1.47,0.19,,1.0
7.596,HD 63454,,K4 V,10.42,9.37,4841.0,6.998,0.8,0.11,7.18,1.0
6.768,HD 63765,,G9V,8.85,8.1,5432.0,6.316,0.865,-0.16,6.442,1.0
6.577,HD 6434,1.14,G3 IV,8.32,7.72,5690,6.187,0.89,-0.48,6.27,1.0
,HD 65216,,G5 V,8.65,7.98,5666.0,,0.92,-0.12,,2.0
2.199,HD 66141,22,K2 III,5.669,4.39,4305,1.447,1.1,-0.36,1.553,1.0
7.044,HD 66428,0.980,G5,8.97,8.26,5752,6.66,1.061,0.310,6.768,1.0
7.098,HD 67087,1.55,F8V,8.55,8.04,6330,6.866,1.36,0.25,6.905,2.0
7.269,HD 6718,1.02,G5V,9.087,8.45,5745.0,6.876,0.96,-0.06,6.99,1.0
,HD 68402,1.02,G5IV/V,,,5950.0,,1.12,0.29,,1.0
7.06,HD 68988,1.14,G0,8.84,8.21,5767.0,6.743,1.2,0.24,6.812,1.0
4.953,HD 69830,0.895,K0V,6.74,5.95,5385.0,4.165,0.86,-0.05,4.364,3.0
7.558,HD 70573,,G1-1.5V,9.30,8.7,5737.0,7.191,1,-0.18,7.276,1.0
5.954,HD 70642,0.84,G5 IV-V,7.89,7.17,5670.0,5.574,1,0.16,5.67,1.0
6.664,HD 7199,0.96,K0IV/V,8.89,8.06,5386.0,6.229,0.89,0.28,6.329,1.0
6.358,HD 72659,1.36,G2 V,8.08,7.47,5926,5.982,1.068,-0.02,6.089,1.0
,HD 72892,1.22,G5V,,8.79,5688.0,,1.02,0.25,,1.0
6.719,HD 73256,0.89,G8/K0,8.84,8.08,5570.0,6.264,1.05,0.29,6.376,1.0
7.493,HD 73267,1.04,G5V,9.66,8.87,5317,7.062,0.89,0.03,7.126,1.0
7.708,HD 73526,1.49,G6 V,9.69,9,5590.0,7.302,1.08,0.25,7.47,2.0
6.524,HD 73534,2.65,G5IV,9.21,8.24,4952,5.962,1.170,0.16,6.072,1.0
6.56,HD 74156,1.345,G0,8.194,7.61,6068,6.21,1.238,0.131,6.28,2.0
6.425,HD 7449 A,1.01,F8V,8.08,7.5,6024.0,6.084,1.05,-0.11,6.179,2.0
12.24,HD 7449 B,,M4.5,,,3000,10.93,0.15,,11.29,0.0
5.38,HD 75289 A,1.25,G0 V,6.94,6.35,,5.06,1.05,0.29,5.13,1.0
,HD 75289 B,,M3.5V,,,,,0.14,,,0.0
6.092,HD 75784,3.3,K3IV,8.84,7.84,4917,5.502,1.41,0.25,5.626,1.0
6.925,HD 75898,1.6,G0,8.67,8.04,6021.0,6.662,1.28,0.27,6.738,1.0
6.911,HD 76700,1.33,G6 V,8.88,8.13,5726.0,6.5,1,0.14,6.613,1.0
7.218,HD 77338,0.88,K0V,9.47,8.63,5370.0,6.761,0.93,0.35,6.905,1.0
5.618,HD 7924,0.7821,K0V,8.005,7.185,5075,5.159,0.832,-0.15,5.231,3.0
6.851,HD 79498,,G5,8.726,8.03,5740.0,6.530,1.06,0.24,6.574,1.0
7.702,HD 80606,0.978,G5,9.78,9.00,5370,7.316,0.98,0.43,7.400,1.0
,HD 80607,,G5,,,,,1,,,0.0
6.505,HD 81040,0.86,G2/G3,8.370,7.72,5700.0,6.159,0.96,-0.16,6.268,1.0
,HD 81688,13,K0III-IV,6.396,5.413,4753,,2.1,-0.359,,1.0
5.995,HD 82886,4.8,G0,8.493,7.78,5112.0,5.452,1.06,-0.31,5.563,1.0
,HD 82943,1.12,G0,7.17,6.54,5874.0,,1.13,0.32,,2.0
6.876,HD 83443,1.04,K0 V,9.03,8.23,5460.0,6.444,0.9,0.35,6.585,1.0
6.735,HD 8535,1.19,G0V,8.25,7.7,6136.0,6.354,1.13,0.02,6.449,1.0
7.012,HD 85390,,K1V,9.40,8.54,5186.0,6.491,0.76,-0.07,6.612,1.0
5.451,HD 85512,,K5V,8.83,7.67,4715.0,4.717,0.69,-0.33,4.998,1.0
6.05,HD 8574,1.37,F8,7.684,7.12,6080.0,5.78,1.17,0.05,5.82,1.0
7.628,HD 86081,1.22,F8V,9.34,8.73,6028.0,7.299,1.21,0.257,7.425,1.0
6.839,HD 86226,1.02,G2V,8.563,7.93,5940.0,6.463,1.06,0.05,6.577,1.0
6.505,HD 86264,1.88,F7V,7.92,7.42,6210.0,6.224,1.42,0.202,6.344,1.0
5.44,HD 8673 A,1.54,F7 V,6.78,7.57,6413.0,5.17,1.312,,5.22,1.0
10.00,HD 8673 B,,,,,,9.29,,,9.42,0.0
,HD 86950,8.8,K1 III,8.55,7.46,4805.0,,1.66,0.04,,1.0
5.839,HD 87883,0.76,K0V,8.54,7.57,4980.0,5.314,0.82,0.093,5.441,1.0
6.60,HD 88133,1.93,G5 IV,8.88,8.01,5494.0,6.20,1.2,0.34,6.30,1.0
5.89,HD 89307,1.05,G0V,7.590,7.06,5950.0,5.56,1.028,-0.14,5.64,1.0
4.86,HD 89744 A,2.14,F7 V,6.232,5.74,,4.454,1.4,0.18,4.53,1.0
,HD 89744 B,,L0V,,,,,0.077,,,0.0
5.685,HD 90156,,G5V,7.603,6.95,5599.0,5.245,0.84,-0.24,5.382,1.0
,HD 9174,1.67,G8IV,,8.37,5577.0,,1.03,0.39,,1.0
6.131,HD 92788,0.99,G5,8.01,7.31,5559.0,5.721,1.13,0.32,5.798,1.0
6.694,HD 93083,,K3 V,9.27,8.3,4995.0,6.132,0.7,0.15,6.26,1.0
6.405,HD 93385,,G2V,8.08,7.49,5940.0,6.065,,,6.135,2.0
7.21,HD 9446,1,G5V,9.03,8.35,5793.0,6.85,1,0.09,6.89,2.0
6.906,HD 95086,,A8,7.60,7.36,7609,6.789,1.7,,6.867,1.0
6.240,HD 95089,4.9,K0 IV,8.897,7.95,5002,5.626,1.38,0.05,5.775,2.0
5.855,HD 95127,20,K0,9.43,8.15,4218,5.022,1.20,-0.18,5.215,1.0
7.156,HD 9578,,G1V,8.788,8.21,5940.0,6.798,1.12,0.11,6.89,1.0
8.406,HD 95872,,K0V,10.722,9.895,5312,7.956,0.95,0.41,8.040,1.0
6.607,HD 96063,4.5,K0,9.09,8.37,5148.0,6.050,1.02,-0.30,6.151,1.0
4.887,HD 96127,35,K2III,8.924,7.407,4152,3.911,0.91,-0.24,4.124,1.0
6.926,HD 96167,1.86,G5D,8.82,8.09,5770.0,6.554,1.31,0.34,6.621,1.0
5.396,HD 96700,,G0V,7.11,6.5,5940.0,4.995,,,5.114,2.0
6.203,HD 97658,0.741,K1V,8.569,7.714,5119.0,5.734,0.77,-0.23,5.821,1.0
6.420,HD 98219,4.5,K0,8.992,8.21,4992.0,5.813,1.30,-0.02,5.913,1.0
,HD 984,,F7V,,7.32,6315.0,,1.2,,,1.0
6.811,HD 98649,1.0,G4V,8.646,8.03,5759,6.419,1.00,0.02,6.493,1.0
7.626,HD 99109,,K0,9.96,9.1,5272.0,7.162,0.93,0.315,7.259,1.0
5.918,HD 99706,5.4,K0,8.646,7.81,4932.0,5.335,1.72,0.14,5.472,2.0
3.942,HIP 107773,11.6,K1III,6.632,5.628,4945,3.292,2.42,0.03,3.366,1.0
8.157,HIP 109384,,G5,10.42,9.63,5180,7.652,0.78,-0.26,7.787,1.0
7.881,HIP 109600,,G5,9.903,9.158,5530,7.499,0.87,-0.12,7.511,1.0
8.604,HIP 116454,0.716,K0,11.10,10.19,5089,8.029,0.775,-0.16,8.140,1.0
7.426,HIP 11915,,,9.24,8.58,5760,7.072,0.993,-0.059,7.137,1.0
8.790,HIP 11952,1.6,F2V,10.18,9.78,6040.0,8.457,0.83,-1.9,8.516,2.0
7.558,HIP 12961,,M0V,11.651,10.31,3840.0,6.736,0.67,-0.07,6.927,1.0
8.849,HIP 13044,6.7,F2,10.426,9.94,6025.0,8.512,0.8,-2.09,8.586,1.0
7.202,HIP 14810,1,G5,9.26,8.52,5485.0,6.828,0.99,0.26,6.964,3.0
,HIP 41378,1.4,,9.42,8.92,6199.0,,1.15,-0.11,,5.0
8.28,HIP 5158,,K5V,11.29,10.21,4962.0,7.669,0.78,0.1,7.775,2.0
7.608,HIP 57050,0.4,M4V,13.36,11.9,3190.0,6.822,0.34,0.32,7.069,1.0
6.958,HIP 57274,0.68,K5V,10.09,8.96,4640.0,6.286,0.73,0.09,6.408,3.0
5.045,HIP 63242,,G8III,7.90,6.86,4839,4.406,1.54,-0.31,4.581,1.0
7.963,HIP 65407,,K0,10.20,9.42,5460,7.578,0.93,0.25,7.648,2.0
,HIP 65426,1.77,A2V,,,8840.0,,1.96,,,1.0
5.115,HIP 65891,8.93,K0III,7.78,6.77,5000,4.453,2.5,0.16,4.689,1.0
,HIP 67537,8.69,K1III,,,4985.0,,2.41,0.15,,1.0
4.48,HIP 67851,5.87,K0III,7.21,6.17,4805,3.751,1.30,-0.03,3.810,2.0
,HIP 68468,,G3V,,,5857.0,,1.05,0.065,,2.0
7.639,HIP 70849,,K7V,11.798,10.36,4105.0,6.790,0.63,,7.006,1.0
15.533,HIP 70849 B,,T4-T5,,,,12.415,0.05,,,0.0
,HIP 74890,5.77,K1III,,,4850.0,,1.74,0.2,,1.0
1.38,iota Draconis,12.8,K2 III,4.493,3.31,4445.0,0.68,1.4,0.15,0.724,1.0
6.925,HIP 78530,,B9V,7.27,7.18,10500,6.900,2.5,,6.931,1.0
7.555,HIP 79431,,M3V,12.88,11.34,3191.0,6.589,0.49,0.4,6.855,1.0
,HIP 8541,7.83,K2III,,,4670.0,,1.17,-0.15,,1.0
7.310,HIP 91258,1,G5V,9.45,8.65,5519,6.893,0.95,0.23,6.996,1.0
5.671,HIP 97233,5.34,K0,8.34,7.34,5020,5.090,1.93,0.29,5.227,1.0
4.79,HN Peg,,G0V,6.53,6,5940.0,4.56,1,,4.60,1.0
4.75,HR 810,1.85,G0V pecul.,5.97,5.4,5997.0,4.138,1.11,0.25,4.32,1.0
5.383,HR 8799,1.44,kA5hF0mA5 V,6.21,5.953,7193,5.240,1.516,-0.47,5.280,4.0
,HU Aqr A,,WD,,,,,0.80,,,0.0
,HU Aqr B,,M4V,,,,,0.18,,,0.0
10.974,HW Vir A,0.183,sdB+M,10.46,4.22,28488,11.122,0.485,,11.093,0.0
,HW Vir B,0.175,sdB+M,,15.59,3084,,0.142,,,0.0
,HW Vir (AB) C,,,,,,,0.01861844,,,0.0
10.541,K2-105,0.95,,12.683,11.752,5434.0,10.091,1.01,0.26,10.173,1.0
,K2-108,1.75,,,,5474.0,,1.121,0.33,,1.0
8.116,K2-109,1.27,,9.402,8.951,,7.853,1.119,-0.23,7.962,2.0
10.184,K2-110,0.692,,12.834,11.915,,9.607,0.724,-0.3,9.641,1.0
11.309,K2-121,0.686,,14.391,13.319,,10.616,0.727,-0.14,10.742,1.0
10.508,K2-126,0.589,,14.154,12.918,,9.712,0.610,-0.44,9.917,1.0
10.491,K2-128,0.651,,13.749,12.627,,9.815,0.687,-0.26,9.965,1.0
10.562,K2-130,0.644,,13.955,12.759,,9.858,0.675,-0.24,9.989,1.0
10.570,K2-131,0.765,,13.054,12.115,,10.051,0.803,-0.15,10.122,1.0
9.11,K2-136 A,0.66,K5V,,,4499,8.38,0.74,0.15,8.51,3.0
14.1,K2-136 B,0.1,M7/8V,,,,13.03,0.1,,13.47,0.0
10.756,K2-138,0.86,K1V,13.01,12.21,5378,10.305,0.93,0.16,10.384,5.0
11.139,K2-156,0.616,,14.637,13.424,,10.391,0.642,-0.33,10.572,1.0
11.398,K2-157,0.876,,13.609,12.823,,10.980,0.940,0.13,11.023,1.0
10.432,K2-158,0.892,,12.336,11.774,,9.974,0.933,0.07,10.051,1.0
10.462,K2-159,0.830,,12.570,11.994,,9.978,0.886,-0.1,10.072,1.0
11.427,K2-160,0.914,,13.303,12.649,,11.037,0.983,0.07,11.087,1.0
10.852,K2-161,2.57,,13.582,12.631,,10.261,0.987,-0.03,10.352,1.0
10.517,K2-162,0.726,,13.310,12.300,,9.898,0.777,-0.09,9.904,1.0
11.310,K2-163,0.762,,14.128,13.129,,10.627,0.826,0.14,10.765,1.0
10.153,K2-164,2.20,,11.802,11.235,,9.775,1.181,-0.23,9.865,1.0
10.055,K2-165,0.804,,12.449,11.331,,9.536,0.835,-0.05,9.627,3.0
10.952,K2-166,1.20,,12.640,12.074,,10.637,1.073,0.05,10.715,1.0
7.202,K2-167,1.83,,8.769,8.239,,6.887,1.02,-0.45,6.974,1.0
10.957,K2-168,0.874,,12.998,12.291,,10.549,0.907,-0.13,10.589,1.0
10.791,K2-169,0.919,,12.966,12.229,,10.371,0.986,0.26,10.458,1.0
11.445,K2-170,0.98,,13.274,12.633,,11.075,0.964,-0.11,11.144,2.0
11.101,K2-171,1.72,,13.525,12.660,,10.529,0.892,-0.09,10.614,1.0
11.098,K2-172,0.869,,13.229,12.438,,10.661,0.934,-0.06,10.760,2.0
10.778,K2-173,0.843,,13.252,12.403,,10.299,0.882,-0.25,10.386,1.0
10.231,K2-174,0.639,,13.658,12.424,,9.496,0.668,-0.24,9.649,1.0
9.563,K2-175,1.42,,11.504,10.836,,9.195,1.095,0.05,9.280,1.0
11.226,K2-176,0.864,,13.768,12.893,,10.726,0.939,0.15,10.807,1.0
11.009,K2-177,1.214,,13.541,12.645,,10.593,1.211,0.41,10.675,1.0
10.786,K2-178,0.887,,13.276,12.403,,10.292,0.951,0.09,10.426,1.0
11.138,K2-179,0.768,,13.984,12.956,,10.555,0.824,0.03,10.633,1.0
11.146,K2-180,0.681,,13.334,12.601,,10.677,0.730,-0.59,10.747,1.0
11.438,K2-181,0.999,,13.494,12.749,,11.026,1.044,0.42,11.082,1.0
10.408,K2-182,0.790,,12.868,11.997,,9.913,0.847,-0.01,9.994,1.0
11.485,K2-183,0.873,,13.632,12.846,,11.021,0.942,0.09,11.152,3.0
8.920,K2-184,0.764,,11.227,10.345,,8.380,0.819,-0.22,8.513,1.0
11.066,K2-185,0.914,,12.878,12.215,,10.680,0.976,-0.05,10.749,1.0
11.142,K2-186,0.981,,12.951,12.307,,10.774,1.019,0.06,10.840,1.0
11.687,K2-187,0.895,,13.871,13.081,,11.196,0.967,0.26,11.289,4.0
11.502,K2-188,1.11,,13.219,12.646,,11.149,1.107,0.16,11.246,2.0
11.038,K2-189,0.862,,13.015,12.399,,10.589,0.928,-0.01,10.701,2.0
9.834,K2-190,0.912,,11.777,11.138,,9.410,0.905,-0.19,9.447,2.0
11.608,K2-191,0.840,,14.176,13.258,,11.077,0.901,0.31,11.177,1.0
11.121,K2-192,0.828,,13.550,12.704,,10.657,0.873,0.05,10.715,1.0
11.934,K2-193,0.957,,14.037,13.251,,11.479,0.994,0.21,11.579,1.0
11.881,K2-194,1.28,,13.462,12.908,,11.570,1.110,0.1,11.664,1.0
11.248,K2-195,0.906,,13.132,12.497,,10.876,0.963,-0.09,10.904,2.0
10.950,K2-196,1.54,,12.635,12.060,,10.617,1.162,0.01,10.686,1.0
10.881,K2-197,0.910,,12.884,12.157,,10.479,0.975,-0.01,10.558,1.0
9.741,K2-198,0.778,,11.798,10.971,,9.228,0.836,-0.16,9.313,1.0
10.277,K2-199,0.667,,13.323,12.289,,9.625,0.706,-0.23,9.726,2.0
10.877,K2-200,0.792,,13.380,12.459,,10.375,0.860,-0.04,10.460,1.0
10.653,K2-201,0.878,,13.061,12.809,,10.198,0.956,0.13,10.273,2.0
11.547,K2-202,0.911,,14.206,13.297,,11.046,0.971,0.27,11.144,1.0
10.773,K2-203,0.763,,13.272,12.353,,10.206,0.794,-0.07,10.281,1.0
11.839,K2-204,1.18,,13.643,13.010,,11.478,1.009,0.07,11.569,1.0
11.235,K2-205,1.08,,12.994,12.391,,10.879,0.951,-0.26,10.933,1.0
11.439,K2-206,0.758,,13.957,13.100,,10.918,0.789,-0.14,10.991,1.0
11.780,K2-207,0.928,,13.906,13.166,,11.383,0.942,0.11,11.456,1.0
11.164,K2-208,0.862,,13.241,12.503,,10.746,0.925,-0.11,10.824,1.0
9.263,K2-209,0.712,,12.050,11.205,,8.613,0.745,-0.06,8.774,1.0
10.354,K2-210,0.852,,12.882,11.535,,9.915,0.912,0.05,9.995,1.0
11.624,K2-211,0.816,,14.028,13.075,,11.104,0.882,0.11,11.205,1.0
10.629,K2-212,0.598,,14.401,13.100,,9.856,0.622,-0.33,10.015,1.0
11.034,K2-213,1.20,,12.721,11.803,,10.656,1.070,0.25,10.729,1.0
10.576,K2-214,1.12,,12.146,11.805,,10.223,1.022,0.12,10.217,1.0
11.679,K2-215,0.974,,13.721,12.986,,11.298,1.000,0.11,11.405,1.0
10.394,K2-216,0.666,,13.563,12.476,,9.721,0.699,-0.18,9.856,1.0
11.009,K2-217,1.33,,12.813,12.187,,10.679,1.103,0.04,10.747,1.0
11.563,K2-218,1.008,,13.601,12.876,,11.206,1.047,0.25,11.267,1.0
10.849,K2-219,1.19,,12.837,12.090,,10.424,1.022,0.13,10.509,3.0
10.582,K2-220,0.930,,12.656,11.890,,10.161,0.960,0.06,10.230,1.0
