period,name,eccentricity,description,discoverymethod,periastrontime,lastupdate,semimajoraxis,mass,periastron,list,discoveryyear
11.555300210,Kepler-1477 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
26.084059400,Kepler-1478 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
14.532613620,Kepler-1479 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
33.416423,Kepler-147 c,,"Kepler-147 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-147 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
12.610584,Kepler-147 b,,"Kepler-147 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-147 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
22.126799480,Kepler-1480 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.942209980,Kepler-1481 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
12.253832170,Kepler-1482 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
9.508515600,Kepler-1483 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
30.454913600,Kepler-1484 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
19.915772500,Kepler-1485 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
54.649575900,Kepler-1486 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
7.319463630,Kepler-1487 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
39.818993200,Kepler-1488 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
82.294751000,Kepler-1489 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.180043,Kepler-148 c,,"Kepler-148 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-148 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
1.729366,Kepler-148 b,,"Kepler-148 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-148 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
51.846885750,Kepler-148 d,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
92.436297300,Kepler-1490 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
16.586176200,Kepler-1491 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
16.752550070,Kepler-1492 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
15.021798300,Kepler-1493 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
91.080482000,Kepler-1494 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
85.273256000,Kepler-1495 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
64.658801700,Kepler-1496 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
8.741997720,Kepler-1497 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
48.051405000,Kepler-1498 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
44.200800000,Kepler-1499 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
29.198943,Kepler-149 b,,"Kepler-149 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-149 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
160.018032,Kepler-149 d,,"Kepler-149 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-149 d are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
55.328328,Kepler-149 c,,"Kepler-149 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-149 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
6.790123,Kepler-14 b,0.035,This planet was discovered with the Kepler spacecraft. The host star is in a close visual binary. The object was previously known as KOI-98 (Kepler Object of Interest).,transit,,11/06/29,,8.4,,Confirmed planets,2011
15.033010500,Kepler-1500 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
14.556453300,Kepler-1501 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
41.708362900,Kepler-1502 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
96.169870000,Kepler-1503 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
82.304003000,Kepler-1504 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
30.860936600,Kepler-1505 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
14.032915400,Kepler-1506 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
16.050621300,Kepler-1507 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
20.705650400,Kepler-1508 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
25.433819700,Kepler-1509 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
7.381998,Kepler-150 c,,"Kepler-150 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-150 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
12.560930,Kepler-150 d,,"Kepler-150 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-150 d are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
30.826557,Kepler-150 e,,"Kepler-150 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-150 e are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
3.428054,Kepler-150 b,,"Kepler-150 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-150 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
84.703921000,Kepler-1510 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
23.238279200,Kepler-1511 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
20.359725990,Kepler-1512 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
160.884650870,Kepler-1513 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
214.311416400,Kepler-1515 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
7.259319790,Kepler-1516 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.546083670,Kepler-1517 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.111779040,Kepler-1518 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
240.798939700,Kepler-1519 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
15.228958,Kepler-151 b,,"Kepler-151 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-151 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
24.674612,Kepler-151 c,,"Kepler-151 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-151 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
47.148408050,Kepler-1521 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.847889170,Kepler-1522 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
0.938750770,Kepler-1523 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
70.967460300,Kepler-1524 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
2.416601180,Kepler-1525 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.908632000,Kepler-1526 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
160.129918000,Kepler-1527 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.791110210,Kepler-1528 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.339056860,Kepler-1529 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
18.207973,Kepler-152 b,,"Kepler-152 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-152 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
88.255055,Kepler-152 c,,"Kepler-152 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-152 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
2.590443400,Kepler-1530 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.322740600,Kepler-1530 c,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.138543380,Kepler-1531 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.093663560,Kepler-1532 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
308.547100000,Kepler-1533 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.716688720,Kepler-1534 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
138.944200000,Kepler-1535 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
364.758031000,Kepler-1536 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.444453800,Kepler-1537 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
175.138819000,Kepler-1538 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
133.303674100,Kepler-1539 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
18.870227,Kepler-153 b,,"Kepler-153 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-153 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
46.902320,Kepler-153 c,,"Kepler-153 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-153 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
125.413117700,Kepler-1540 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
8.406911990,Kepler-1541 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.951168820,Kepler-1542 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
2.892230210,Kepler-1542 c,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.992737380,Kepler-1542 d,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.101157560,Kepler-1542 e,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
6.967102690,Kepler-1543 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
168.811174000,Kepler-1544 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
163.692349000,Kepler-1545 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
19.597497100,Kepler-1546 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
0.692979680,Kepler-1547 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
124.828679000,Kepler-1548 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
214.886545000,Kepler-1549 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
33.040532,Kepler-154 b,,"Kepler-154 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-154 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
62.303276,Kepler-154 c,,"Kepler-154 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-154 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
20.549818830,Kepler-154 d,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.932764650,Kepler-154 e,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
9.919356840,Kepler-154 f,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
225.582809000,Kepler-1550 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
24.497369800,Kepler-1551 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
184.771853000,Kepler-1552 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.242618810,Kepler-1553 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
198.088774000,Kepler-1554 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
8.105016350,Kepler-1555 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
8.827134570,Kepler-1556 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.740324960,Kepler-1557 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.504703580,Kepler-1558 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
0.971915430,Kepler-1559 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.931194,Kepler-155 b,,"Kepler-155 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-155 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
52.661793,Kepler-155 c,,"Kepler-155 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-155 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
3.031957440,Kepler-1560 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.005207010,Kepler-1561 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
64.273775200,Kepler-1562 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.432765980,Kepler-1563 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
18.054038100,Kepler-1564 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.538188440,Kepler-1565 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
0.539915240,Kepler-1566 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
