mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,386.370548000,transit,16/05/10,,Kepler-1600 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.209219510,transit,16/05/10,,Kepler-1601 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.179316050,transit,16/05/10,,Kepler-1602 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.271639260,transit,16/05/10,,Kepler-1603 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.683684260,transit,16/05/10,,Kepler-1604 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,85.756549500,transit,16/05/10,,Kepler-1605 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,196.435224000,transit,16/05/10,,Kepler-1606 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,13.647367600,transit,16/05/10,,Kepler-1607 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,16.473568600,transit,16/05/10,,Kepler-1608 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,114.342190000,transit,16/05/10,,Kepler-1609 b
,This planet was discovered by Rowe et al. 2014. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.055110,2014,Confirmed planets,,4.30939700,transit,20/07/09,,Kepler-160 b
,This planet was discovered by Rowe et al. 2014. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.119200,2014,Confirmed planets,,13.69942900,transit,20/07/09,,Kepler-160 c
0.31463,This planet was discovered by Heller et al. 2020. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.170000,2020,Confirmed planets,,30.00000000,timing,20/07/09,,Kepler-160 d
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.701815740,transit,16/05/10,,Kepler-1610 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.176242900,transit,16/05/10,,Kepler-1611 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.917951010,transit,16/05/10,,Kepler-1612 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.518429900,transit,16/05/10,,Kepler-1613 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.946614100,transit,16/05/10,,Kepler-1614 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,47.312619200,transit,16/05/10,,Kepler-1615 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.762843770,transit,16/05/10,,Kepler-1616 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,27.478557200,transit,16/05/10,,Kepler-1617 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.108260190,transit,16/05/10,,Kepler-1618 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,23.622591300,transit,16/05/10,,Kepler-1619 b
,"Kepler-161 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-161 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,4.921355,transit,14/02/26,,Kepler-161 b
,"Kepler-161 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-161 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,7.064240,transit,14/02/26,,Kepler-161 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,101.951829000,transit,16/05/10,,Kepler-1620 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,92.263714000,transit,16/05/10,,Kepler-1621 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,10.811873700,transit,16/05/10,,Kepler-1622 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.361283480,transit,16/05/10,,Kepler-1623 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.290304520,transit,16/05/10,,Kepler-1624 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,287.378949000,transit,16/05/10,,Kepler-1625 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.139629660,transit,16/05/10,,Kepler-1626 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,7.202836530,transit,16/05/10,,Kepler-1627 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,76.378033000,transit,16/05/10,,Kepler-1628 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.875958070,transit,16/05/10,,Kepler-1629 b
,"Kepler-162 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-162 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,19.446355,transit,14/02/26,,Kepler-162 c
,"Kepler-162 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-162 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,6.919798,transit,14/02/26,,Kepler-162 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,509.997402000,transit,16/05/10,,Kepler-1630 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.095139320,transit,16/05/10,,Kepler-1631 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,448.303558000,transit,16/05/10,,Kepler-1632 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,186.404271000,transit,16/05/10,,Kepler-1633 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,374.876239000,transit,16/05/10,,Kepler-1634 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,469.631110000,transit,16/05/10,,Kepler-1635 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,425.477850000,transit,16/05/10,,Kepler-1636 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.109603240,transit,16/05/10,,Kepler-1637 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,259.336830000,transit,16/05/10,,Kepler-1638 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,9.878482000,transit,16/05/10,,Kepler-1639 b
,"Kepler-163 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-163 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,21.347262,transit,14/02/26,,Kepler-163 c
,"Kepler-163 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-163 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,7.810937,transit,14/02/26,,Kepler-163 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,7.584412600,transit,16/05/10,,Kepler-1640 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,19.672266000,transit,16/05/10,,Kepler-1641 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,32.657212000,transit,16/05/10,,Kepler-1641 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,12.205751300,transit,16/05/10,,Kepler-1642 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.651380200,transit,16/05/10,,Kepler-1642 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.342645070,transit,16/05/10,,Kepler-1643 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,21.090775800,transit,16/05/10,,Kepler-1644 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,16.177956100,transit,16/05/10,,Kepler-1645 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.485583830,transit,16/05/10,,Kepler-1646 b
,This planet was discovered by Vanderburg et al. 2020. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Vanderburg et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2020,Confirmed planets,,19.53527000,transit,20/04/23,,Kepler-1649 c
,This planet was discovered by Angelo et al. 2017. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Vanderburg et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2017,Confirmed planets,,8.68909900,transit,20/04/23,,Kepler-1649 b
,"Kepler-164 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-164 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,10.945723,transit,14/02/26,,Kepler-164 c
,"Kepler-164 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-164 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,28.986769,transit,14/02/26,,Kepler-164 d
,"Kepler-164 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-164 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,5.035030,transit,14/02/26,,Kepler-164 b
5.88000,This planet was discovered by Chontos et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Chontos et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.054400,2019,Confirmed planets,0.062800,3.84937278,transit,19/03/14,-7.7300,Kepler-1658 b
,"Kepler-165 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-165 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,8.180848,transit,14/02/26,,Kepler-165 b
,"Kepler-165 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-165 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,15.312990,transit,14/02/26,,Kepler-165 c
0.05349,This planet was discovered by Socia et al. 2020. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Socia et al. 2020 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.633000,2020,Confirmed planets,0.057000,175.06000000,transit,20/02/27,67.1000,Kepler-1661 b
,"Kepler-166 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-166 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,7.650254,transit,14/02/26,,Kepler-166 b
,"Kepler-166 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-166 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,34.260281,transit,14/02/26,,Kepler-166 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.554003930,transit,16/05/10,,Kepler-166 d
,"Kepler-167 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-167 b are still unknown, the object is highly unlikely to be a false positive. The probability that Kepler-167 b is a rocky planet is estimated to be 12.4%.",,0.0483,2014,Confirmed planets,0,4.3931632,transit,17/11/28,,Kepler-167 b
,"Kepler-167 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-167 c are still unknown, the object is highly unlikely to be a false positive. The probability that Kepler-167 c is a rocky planet is estimated to be 15.9%.",,0.0684,2014,Confirmed planets,0,7.406114,transit,17/11/28,,Kepler-167 c
,Kepler-167 d is the smallest known planet orbiting Kepler-167 and the third in order of distance. The probability that this is a rocky planet is estimated as 60.2%. The planet is too close to its star to be habitable.,,0.1405,2016,Confirmed planets,,21.803855,transit,17/11/28,,Kepler-167 d
,"Kepler-167 e is the first discovery of a transiting Jupiter analogue. The planet is in a circular orbit at a distance of 1.890 AU from its host star, which is cooler and less luminous than the Sun. It receives an amount of radiation equivalent to that received by a planet 3.64 AU from the Sun. The mass has not yet been determined and the flat curve of the mass-radius relationship around the radius of Kepler-167 e allows for a wide range of possible masses, from 0.3 to 50 times that of Jupiter.",,1.890,2016,Confirmed planets,0.062,1071.23228,transit,17/11/28,200,Kepler-167 e
,"Kepler-168 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-168 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,13.193242,transit,14/02/26,,Kepler-168 c
,"Kepler-168 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-168 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,4.425391,transit,14/02/26,,Kepler-168 b
,"Kepler-169 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-169 e are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,13.767102,transit,14/02/26,,Kepler-169 e
,"Kepler-169 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-169 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,6.195469,transit,14/02/26,,Kepler-169 c
,"Kepler-169 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-169 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,3.250619,transit,14/02/26,,Kepler-169 b
,"Kepler-169 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-169 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,8.348125,transit,14/02/26,,Kepler-169 d
,"Kepler-169 f has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-169 f are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,87.090195,transit,14/02/26,,Kepler-169 f
0.333,Kepler-16 (AB) b is a circum-binary planet. It is orbiting two stars. The orbit of the binary stars and the planet are perfectly alligned within half a degree. This suggests that the planet formed in a circumbinary disc.,,0.7048,2011,Confirmed planets,0.00685,228.776,transit,12/11/27,,Kepler-16 (AB) b
,"Kepler-170 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-170 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,7.930592,transit,14/02/26,,Kepler-170 b
,"Kepler-170 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-170 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,16.665863,transit,14/02/26,,Kepler-170 c
,"Kepler-171 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-171 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,4.166972,transit,14/02/26,,Kepler-171 b
,"Kepler-171 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-171 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,11.463462,transit,14/02/26,,Kepler-171 c
,"Kepler-171 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-171 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,39.595519,transit,14/02/26,,Kepler-171 d
,"Kepler-172 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-172 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,2.940309,transit,14/02/26,,Kepler-172 b
,"Kepler-172 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-172 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,6.388996,transit,14/02/26,,Kepler-172 c
,"Kepler-172 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-172 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,14.627119,transit,14/02/26,,Kepler-172 d
,"Kepler-172 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-172 e are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,35.118736,transit,14/02/26,,Kepler-172 e
,"Kepler-173 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-173 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,8.005777,transit,14/02/26,,Kepler-173 c
,"Kepler-173 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-173 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,4.263742,transit,14/02/26,,Kepler-173 b
,"Kepler-174 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-174 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,13.981790,transit,14/02/26,,Kepler-174 b
,"Kepler-174 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-174 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,44.000529,transit,14/02/26,,Kepler-174 c
,"Kepler-174 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-174 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,247.353730,transit,14/02/26,,Kepler-174 d
,"Kepler-175 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-175 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,11.903515,transit,14/02/26,,Kepler-175 b
,"Kepler-175 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-175 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,34.035257,transit,14/02/26,,Kepler-175 c
,"Kepler-176 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-176 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,12.759712,transit,14/02/26,,Kepler-176 c
,"Kepler-176 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-176 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,5.433074,transit,14/02/26,,Kepler-176 b
,"Kepler-176 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-176 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,25.751974,transit,14/02/26,,Kepler-176 d
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,51.165790000,transit,16/05/10,,Kepler-176 e
,"Kepler-178 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-178 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,9.576694,transit,14/02/26,,Kepler-178 b
,"Kepler-178 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-178 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,96.678988,transit,14/02/26,,Kepler-178 d
