temperature,magV,mass,spectraltype,magJ,radius,magB,magH,magK,metallicity,name,planets
5014.0,7.55,1.84,K0III,5.853,4.6,8.566,5.370,5.251,0.26,HD 181342,1.0
4962.0,8.38,0.78,K3IV,6.664,,9.42,6.243,6.094,0.33,HD 181433,3.0
5781.0,7.86,0.92,G1V,6.652,,8.44,6.346,6.294,-0.53,HD 181720,1.0
5936,7.86,1.121,G2IV,6.782,1.117,8.51,6.528,6.422,0.302,HD 183263,2.0
5980,6.683,1.28,G0IV,5.518,1.88,7.238,5.400,5.260,0.11,HD 185269 A,1.0
,,0.165,,12.48,,,,,,HD 185269 Ba,0.0
,,0.154,,12.61,,,,,,HD 185269 Bb,0.0
8981.0,7.58,2.0,A2V,,1.561,,,,-0.29,HD 185603,1.0
6075.0,7.22,1.22,G0 V,6.190,,7.78,5.951,5.876,0.05,HD 187085,1.0
5815,7.83,1.037,G5V,6.64,1.143,8.488,6.39,6.34,0.121,HD 187123,2.0
5048.0,7.97,1.60,K0,6.177,4.9,8.740,5.705,5.554,-0.04,HD 18742,1.0
,8.22,1.09,G5IV,7.008,1.1,8.95,6.716,6.632,0.29,HD 188015 A,1.0
,,0.21,,,,,,,,HD 188015 B,0.0
5940.0,6.07,,G2V,5.108,,6.71,4.724,4.511,,HD 189567,1.0
4980.0,7.68,0.8,K2V,6.073,0.788,8.578,5.587,5.54,-0.03,HD 189733 A,1.0
,,0.4,M4,,,,,,,HD 189733 B,0.0
5628.0,7.78,1.1,G5,6.546,,8.54,6.251,6.161,0.24,HD 190647,1.0
5988.0,8.76,0.91,F8V,7.671,1.53,9.27,7.389,7.319,-0.48,HD 190984,1.0
6010,8.08,1.14,,6.966,,8.71,6.713,6.639,0.30,HD 191806,1.0
5427.00,8.963,0.92,G8V,7.597,0.94,,7.215,7.180,-0.160,HD 191939,3.0
4965.0,7.79,0.81,K2 V,,0.75,8.724,,,-0.2,HD 192263,1.0
5220.0,6.44,1.69,G8IV,4.903,3.90,7.290,4.360,4.366,-0.15,HD 192699,1.0
,6.91,1.06,G3 IV-V,5.60,1.38,7.530,5.32,5.26,0.08,HD 195019 A,1.0
,,0.70,,,,,,,,HD 195019 B,0.0
10170.0,7.56,,A0,,,,,,,HD 195689,1.0
5874.0,7.5,1.17,G3 V,,1.29,8.16,,,0.23,HD 196050 A,1.0
,,0.29,M3,,,,,,,HD 196050 Ba,0.0
,,0.19,M3.5,,,,,,,HD 196050 Bb,0.0
5940.0,6.02,1.29,G0V,5.417,1.73,6.64,5.207,5.080,0.18,HD 196067,1.0
6340.0,6.4,1.33,F8V,5.414,1.79,6.92,5.190,5.072,0.29,HD 196885 A,1.0
,,0.55,M1V,,,,,,,HD 196885 B,0.0
6150,6.813,1.11,F7V,5.772,,7.31,5.568,5.488,-0.20,HD 197037 A,1.0
,,0.3412,,,,,,,,HD 197037 B,0.0
,5.07,1.34,F8 V,,1.93,5.63,,3.75,0.25,HD 19994 A,1.0
,,0.35,M3V,,,,,,,HD 19994 B,0.0
5940.0,8.37,,G8V,7.087,,9.140,6.764,6.647,,HD 20003,2.0
5164,6.64,1.44,K0,4.802,4.3,7.379,4.459,4.286,-0.15,HD 200964,2.0
5750.0,8.08,1.13,G6 V,,1.02,8.79,,,0.37,HD 202206,2.0
6128.0,6.41,1.04,G0,5.325,1.18,6.933,5.117,5.039,0.1,HD 20367,1.0
5947.0,9.01,0.98,G2/G3 IV-V,7.912,1.21,9.65,7.652,7.549,0.1,HD 2039,1.0
5776,8.02,1.02,G5V,6.812,,8.696,6.539,6.459,0.18,HD 204313,3.0
5056.0,8.45,0.74,K2V,6.895,0.72,9.39,6.475,6.357,-0.19,HD 204941,1.0
6176.0,8.56,1.22,F7V,7.585,1.33,9.09,7.350,7.299,0.19,HD 205739,1.0
5635.00,7.618,1.42,G5IV/V,6.379,,,6.070,5.979,,HD 206255,1.0
4874.0,8.34,1.56,K0,6.579,6.1,9.38,6.111,5.952,0.14,HD 206610,1.0
5798,7.38,1.02,G1.5 V,6.229,1.09,8.03,5.956,5.827,0.01,HD 20782,1.0
5256,8.44,0.760,G9.5V,7.045,,9.263,6.642,6.553,-0.11,HD 20781,2.0
5710.0,8.79,0.94,G5V,7.587,0.901,9.48,7.297,7.207,0.06,HD 207832,2.0
5490.0,4.26,0.70,G8V,3.032,,4.97,2.709,2.636,-0.40,HD 20794,3.0
5929.0,7.48,1.3,G2V,,1.15,8.02,,,-0.06,HD 208487,1.0
3950,6.4,1.6,K5 V,3.328,51.1,8.060,2.537,2.224,-0.09,HD 208527,1.0
4795,9.93,0.78,K3/4 IV,8.138,0.79,11.07,7.641,7.543,0.04,HD 20868,1.0
6075,7.63,1.148,G0V,6.591,1.146,8.21,6.37,6.308,0.02,HD 209458,1.0
5790.00,7.823,1.04,G3V,6.674,,,6.390,6.310,,HD 210193,1.0
5532.0,6.63,1.09,G0,5.275,1.1,7.34,4.96,4.799,0.19,HD 210277,1.0
4967,5.939,1.68,K1 IV,4.508,5.1,6.885,3.995,3.984,0.12,HD 210702,1.0
4127.00,8.990,0.61,K7V,6.462,,,5.842,5.663,,HD 211970,1.0
5998.0,7.77,1.05,F8 V,,,8.31,,,0.18,HD 212301,1.0
5121.0,7.6,1.15,G8IV,6.025,5,8.48,5.578,5.496,-0.21,HD 212771,1.0
,6.8,1.22,G0V,,1.5,7.41,5.482,,0.16,HD 213240 A,1.0
,,0.146,M,12.415,,,,11.595,,HD 213240 C,0.0
5978.00,7.996,1.07,G,6.806,1.10,,6.501,6.419,-0.040,HD 213885,2.0
5605.00,7.885,0.89,G8V,6.573,,,6.238,6.131,,HD 21411,1.0
6215,8.078,1.22,G0V,6.952,,8.68,6.697,6.640,0.17,HD 214823,1.0
5150.0,8.13,,K0,6.353,,9.12,5.895,5.775,,HD 215152,2.0
5940.0,6.63,,G0.5V,5.458,,7.26,5.207,5.098,,HD 215456,2.0
5113.0,8.97,0.87,K3V,7.339,,9.92,6.917,6.784,0.23,HD 215497,2.0
5767.0,6.03,1.3,G0 V,5.008,2,6.66,4.687,4.612,0.244,HD 216435,1.0
5636.0,6.06,1.06,G4 IV-V,5.01,1.1,6.697,4.68,4.61,0.25,HD 216437,1.0
4639,9.23,1.36,K0,7.172,12.5,10.42,6.636,6.496,-0.17,HD 216536,1.0
5248.0,8.1,0.9,K1 V,6.752,1,8.92,6.429,6.311,0.23,HD 216770,1.0
5940.0,7.94,,G9IV,6.607,,8.715,6.288,6.193,,HD 21693,2.0
5704,6.16,1.108,G8 IV,4.949,1.500,6.900,4.765,4.536,0.389,HD 217107,2.0
5966,7.779,1.02,F8V,6.685,1.27,8.360,6.416,6.352,-0.135,HD 217786 A,1.0
,,0.1622,,,,,,,,HD 217786 B,0.0
4820.0,8.628,0.85,K3V,6.824,0.86,9.641,6.344,6.223,0.38,HD 218566,1.0
5362.0,6.12,1.05,G8 V+,4.640,1.91,6.91,4.124,4.287,-0.13,HD 219077,1.0
4699,5.570,0.81,K3V,3.86,0.778,6.560,3.40,3.40,0.11,HD 219134,7.0
4820,8.91,1.0,K0 III,7.023,2.9,9.90,6.532,6.421,-0.04,HD 219415,1.0
5891,8.01,1.23,G0IV,6.871,1.7,8.68,6.614,6.530,0.19,HD 219828,2.0
5080,6.4,1.2,K1 V,3.182,49.7,8.070,2.373,2.006,-0.25,HD 220074,1.0
5683.00,9.000,0.91,G5,7.698,0.98,,7.362,7.349,-0.550,HD 220197,1.0
5940.0,7.77,1.01,G3V,6.653,1.07,8.355,6.407,6.326,0.00,HD 220689,1.0
5940.0,7.09,1.16,F9,6.001,,7.708,5.712,5.651,0.09,HD 220773,1.0
5960,7.99,1.13,F8,6.847,,8.572,6.627,6.555,-0.17,HD 220842,1.0
6304.0,7.82,1.25,F7 V,6.843,,8.31,6.616,6.569,0.03,HD 221287,1.0
5080.00,8.146,1.21,K0IV/V,6.568,2.94,,6.149,6.043,-0.080,HD 221416,1.0
5830.00,5.810,1.67,G2V,4.997,,,4.527,4.306,0.290,HD 221420,1.0
5620,7.44,1.19,G8IV,6.157,,8.18,5.841,5.781,0.29,HD 221585,1.0
4806.0,,1.07,,,4.14,,,,0.05,HD 222076,1.0
5765.0,7.1,1.13,G2V,5.885,1.67,7.76,5.579,5.510,-0.11,HD 222155,1.0
,7.7,0.99,G5,6.522,1.15,8.34,6.243,6.173,-0.0229,HD 222582 A,1.0
,,0.2,M3.5V,,,,,,,HD 222582 B,0.0
6097.0,,1.54,F9IV/V,,1.34,,,,0.27,HD 224538,1.0
6037.0,8.23,1.33,G2IV,7.136,1.7,8.87,6.882,6.808,0.343,HD 224693,1.0
5027.0,8.77,0.75,K0V,7.149,,9.628,6.686,6.607,-0.37,HD 22781,1.0
5848.0,7.1,1.1,F8/G0 V,6.03,1.13,7.68,5.814,5.705,-0.24,HD 23079,1.0
5927.0,8.58,1.13,G2V,7.423,,9.26,7.182,7.087,0.34,HD 23127,1.0
6208.0,8.97,1.14,F8V,7.952,1.35,9.486,7.719,7.657,0.07,HD 231701,1.0
4791,10.29,1.50,K5,8.660,10.9,11.33,8.131,7.979,-0.36,HD 233604,1.0
4981.00,10.146,0.71,G0,8.544,0.68,,8.042,8.013,-0.660,HD 233832,1.0
5888.0,7.24,1.27,F8,6.173,2.09,7.85,5.962,5.874,0.32,HD 23596,1.0
4297,8.27,0.82,K3III,5.306,,9.88,4.587,4.388,-0.18,HD 240210,1.0
4361,8.17,1.69,K2III,5.105,32,9.86,4.472,4.319,-0.26,HD 240237,1.0
5853,7.52,1.18,G0,6.28,1.154,8.18,6.04,5.97,0.206,HD 24040,1.0
4052.5,6.72,1.0,K0,4.317,38.0,8.23,3.432,3.130,-0.49,HD 24064,1.0
6034.00,7.564,1.22,G0V,6.483,,,6.222,6.172,,HD 24085,1.0
5160.00,8.870,0.86,K1V,7.314,0.83,,6.903,6.806,0.040,HD 25015,1.0
6160.0,7.79,1.09,F8V,6.765,1.18,8.293,6.570,6.489,-0.11,HD 25171,1.0
,7.76,,G0,6.715,,8.40,6.459,6.369,,HD 2567,0.0
5192,9.44,0.87,G5,7.96,,10.33,7.42,7.47,0.16,HD 2638,1.0
,,0.46,M1V,10.46,,,,9.46,,HD 2638 C,0.0
6801.00,,1.43,,8.825,1.56,,8.651,8.595,0.020,HD 2685,1.0
5072,4.43,0.78,K0V,2.93,0.812,5.25,2.48,2.41,-0.42,HD 26965,1.0
17200,9.53,0.575,DA2.9,9.849,0.01308,9.83,9.986,9.861,,40 Eri B,0.0
,11.17,0.2041,M4.5V,6.747,,12.85,6.28,5.962,-0.21,40 Eri C,0.0
,4.44,1.2,K2 IV a,2.37,6.6,5.517,1.81,1.75,0.22,HD 27442 A,1.0
,,0.75,,,,,,,,HD 27442 B,0.0
5737,8.25,0.94,G3 IV/V,7.023,1.0,8.914,6.719,6.646,-0.12,HD 27631,1.0
4875.0,9.36,0.8,K2 V,,,10.42,,,0.3,HD 27894,1.0
5482.0,7.81,1.24,G5,6.578,1.03,8.52,6.289,6.185,0.24,HD 28185,1.0
5664.0,7.71,1.06,G1IV/V,6.395,1.48,8.44,6.13,6.006,0.36,HD 28254,1.0
4503,10.473,0.734,K4,8.365,0.656,11.670,7.811,7.665,0.13,HD 285507,1.0
5076.0,8.54,1.74,K0,6.447,6.2,9.43,5.942,5.775,-0.11,HD 28678,1.0
5560.0,,0.85,G5,,0.85,,,,-0.24,HD 29021,1.0
5552.0,8.96,0.9,G8V,7.683,1,9.73,7.404,7.271,-0.11,HD 290327,1.0
4844,5.930,2.5,K0III,4.264,12.02,6.961,3.779,3.629,0.00,HD 2952,1.0
5320.0,8.41,0.95,G8 V,7.15,1.12,9.18,6.829,6.715,0.19,HD 30177,1.0
5861.0,5.77,1.23,F8V,4.98,1.53,6.40,4.57,4.310,0.29,HD 30562,1.0
5400,9.11,0.92,G9 V,7.754,0.91,9.93,7.390,7.329,0.13,HD 30669,1.0
4982.0,8.07,1.35,K0,6.255,4.2,8.872,5.798,5.657,-0.06,HD 30856,1.0
5960,7.13,1.23,F8,6.060,1.71,7.712,5.839,5.792,0.16,HD 31253,1.0
5940.0,7.48,,G0V,6.373,,8.071,6.048,6.049,,HD 31527,3.0
4580,6.44,1.13,K1III,4.531,10.22,7.530,3.992,3.911,-0.15,HD 32518,1.0
5727,7.59,0.94,G3V,6.420,,8.22,6.098,6.024,0.11,HD 32963,1.0
6295.0,9.36,0.95,G5,,,10.23,,,0.03,HD 330075,1.0
5052,8.13,1.620,K0 III,6.345,4.2,8.905,5.903,5.792,0.05,HD 33142,2.0
6089.00,8.560,1.13,F8,7.509,1.28,,7.300,7.242,0.036,HD 332231,1.0
5995.0,8.05,1.24,G3V,6.983,1.2,8.640,6.729,6.646,0.366,HD 33283,1.0
6250.0,5.08,1.25,F6 V,4.416,1.1,5.547,4.201,3.911,-0.12,HD 33564,1.0
4861,7.29,1.78,K0 III,5.574,5.29,8.33,5.132,4.945,0.27,HD 33844,2.0
5836,7.33,1.07,G0 V,,1.38,7.97,,,0.14,HD 34445,6.0
6060,7.74,1.15,G0,6.606,,8.33,6.388,6.319,0.04,HD 35759,1.0
5173.0,5.8,0.79,K0 V,4.549,0.947,6.72,4.064,3.999,0.05,HD 3651,2.0
5610.0,7.68,0.83,G4 V,6.359,0.82,8.35,6.021,5.952,-0.442,HD 37124,3.0
5448.0,8.69,1.00,K0V,7.27,,9.52,6.92,6.82,0.39,HD 37605,2.0
5945.0,6.7,1.085,F9.5V,5.645,,7.26,5.339,5.267,-0.24,HD 38283,1.0
,5.94,1.48,G4 IV,4.91,2.44,6.684,4.38,4.21,0.27,HD 38529 A,2.0
,,0.5,M3.0V,,,,,,,HD 38529 B,0.0
5222.0,8.26,1.36,K0IV,6.800,2.53,9.14,6.372,6.279,0.26,HD 38801,1.0
5940.0,5.97,,G4V,5.260,,6.59,4.595,4.405,,HD 38858,1.0
6037,5.67,1.094,G0V,4.87,1.10,6.25,4.42,4.241,0.08,HD 39091,2.0
5150.0,8.08,,K0V,6.598,,8.841,6.212,6.094,,HD 39194,3.0
5951,8.38,1.08,F8,7.280,,8.94,7.012,6.946,-0.32,HD 39392,1.0
5576.00,7.470,0.87,G8V,6.207,,,5.836,5.756,,HD 39855,1.0
4977,7.17,0.77,K2.5V,5.412,,8.097,4.968,4.793,-0.31,HD 40307,6.0
,6.74,1.1,F8 V,5.74,1.21,7.29,5.51,5.45,0.194,HD 40979 A,1.0
,,0.833,K5,,,,,,,HD 40979 B,0.0
,,0.380,,,,,,,,HD 40979 C,0.0
5035.0,12.33,0.4,M2,7.004,,9.49,6.55,6.43,-0.09,HD 41004 A,1.0
,,0.7,K1V,,,,,,,HD 41004 B,0.0
,,0.0181410,,,,,,,,HD 41004 B b,0.0
5688,7.880,1.05,G5V,6.672,,8.61,6.345,6.289,0.2,HD 4113 A,1.0
,,0.06279,T9,21.6,,,19.7,,,HD 4113 C,0.0
3833,12.70,0.55,M0-1V,9.447,,14.19,8.74,8.539,,HD 4113 B,0.0
5713,8.82,0.92,G2V,7.606,0.78,9.42,7.284,7.277,-0.43,HD 41248,2.0
5405.0,,0.83,K0,,0.82,,,,-0.09,HD 42012,1.0
5702,8.687,1.130,G5,7.39,1.33,9.444,7.11,7.05,0.453,HD 4203,2.0
5571.0,7.79,0.87,G5 V,6.57,0.85,8.46,6.24,6.163,-0.284,HD 4208,1.0
5727,6.839,1.015,G4V,5.701,0.999,7.496,5.385,5.301,-0.09,HD 42618,1.0
5597.0,6.54,0.85,G5 V,5.366,0.92,7.193,5.101,4.945,-0.34,HD 4308,1.0
5035.0,7.83,1.72,G5 D,6.159,4.9,8.788,5.774,5.595,0.14,HD 4313,1.0
5508.0,8.95,0.96,G8V,7.658,1,9.79,7.328,7.203,0.4,HD 43197,1.0
6200.0,8.03,1.38,G0IV,6.976,,8.59,6.777,6.700,0.28,HD 43691,1.0
5752.0,7.69,1,G2V,6.509,1.32,8.36,6.215,6.115,0.03,HD 44219,1.0
5940.0,6.37,,G1.5V,5.219,,6.99,4.962,4.871,,HD 45184,1.0
5754.0,7.88,1.02,G5 IV,6.587,1.27,8.62,6.279,6.224,0.29,HD 45350,1.0
5434.0,8.08,0.82,K0V,6.748,,8.82,6.380,6.316,-0.17,HD 45364,2.0
5312.0,8.1,0.83,G8-K0,6.703,,8.96,6.316,6.263,0.29,HD 45652,1.0
5199.0,7.94,0.91,K1 IV,6.45,1,8.70,6.07,6.00,0.24,HD 46375 A,1.0
,,0.58,K9.5-M1.5,,,,,,,HD 46375 B,0.0
5675.0,7.8,0.99,G5V,6.416,,8.36,6.100,6.005,0.23,HD 47186,2.0
4959,2.04,1.74,K0 IV,4.338,5.4,6.84,3.717,3.691,0.01,HD 4732,2.0
4914.00,6.110,2.19,K1III,4.504,6.20,,3.962,4.055,-0.070,HD 47366,2.0
4380.0,5.25,0.99,K1 III,3.179,23.47,6.43,2.471,2.383,-0.65,HD 47536,2.0
5940.0,8.07,0.93,G5V,6.842,,8.78,6.529,6.449,0.17,HD 48265,1.0
5482.0,8.1,1.07,G5 V,,0.94,8.83,,,0.25,HD 49674,1.0
5902,7.22,1.280,G0/2V,,1.38,7.82,,,0.23,HD 50499,1.0
5902.0,6.86,1.04,F8,5.776,1.11,7.41,5.516,5.467,-0.07,HD 50554,1.0
5150.0,8.17,,K0IV,6.813,,8.947,6.451,6.328,,HD 51608,2.0
6159.0,6.3,1.2,G0 V,5.242,1.25,6.837,5.033,4.953,0.21,HD 52265,1.0
5052.0,8.05,1.51,G5IV,6.348,3.26,9.03,5.864,5.699,0.15,HD 5319,2.0
4830,7.60,1.01,K0,5.813,9.09,8.54,5.340,5.221,-0.50,HD 5583,1.0
4854,5.999,1.55,K0IV,4.478,5.5,6.990,3.880,3.826,0.06,HD 5608,1.0
5902,8.29,0.961,G2,7.218,1.01,8.90,6.983,6.893,-0.2,HD 564,1.0
4907.0,8.11,1.91,G5D,6.239,8.7,9.11,5.725,5.621,-0.02,HD 5891,1.0
4658,5.45,1.9,K2 III,3.630,13.2,6.585,3.065,2.922,0.15,HD 59686 A,1.0
,,0.5296,,,,,,,,HD 59686 B,0.0
6095.0,4.45,1.44,F6IV-V,3.703,,4.94,3.318,3.355,-0.26,HD 60532,2.0
4666.0,1.15,1.47,K0IIIb,,9.3,2.15,,,0.19,HD 62509,1.0
4841.0,9.37,0.8,K4 V,7.596,,10.42,7.18,6.998,0.11,HD 63454,1.0
5432.0,8.1,0.865,G9V,6.768,,8.85,6.442,6.316,-0.16,HD 63765,1.0
5676.00,7.718,0.95,G7V,6.478,,,6.125,6.046,,HD 64114,1.0
5690,7.72,0.89,G3 IV,6.577,1.14,8.32,6.27,6.187,-0.48,HD 6434,1.0
5666.0,7.98,0.92,G5 V,,,8.65,,,-0.12,HD 65216,2.0
4305,4.39,1.1,K2 III,2.199,22,5.669,1.553,1.447,-0.36,HD 66141,1.0
5752,8.26,1.061,G5,7.044,0.980,8.97,6.768,6.66,0.310,HD 66428,1.0
6330,8.04,1.36,F8V,7.098,1.55,8.55,6.905,6.866,0.25,HD 67087,2.0
5745.0,8.45,0.96,G5V,7.269,1.02,9.087,6.99,6.876,-0.06,HD 6718,1.0
5950.0,,1.12,G5IV/V,,1.02,,,,0.29,HD 68402,1.0
5767.0,8.21,1.2,G0,7.06,1.14,8.84,6.812,6.743,0.24,HD 68988,1.0
5385.0,5.95,0.86,K0V,4.953,0.895,6.74,4.364,4.165,-0.05,HD 69830,3.0
5737.0,8.7,1,G1-1.5V,7.558,,9.30,7.276,7.191,-0.18,HD 70573,1.0
5670.0,7.17,1,G5 IV-V,5.954,0.84,7.89,5.67,5.574,0.16,HD 70642,1.0
5386.0,8.06,0.89,K0IV/V,6.664,0.96,8.89,6.329,6.229,0.28,HD 7199,1.0
5926,7.47,1.068,G2 V,6.358,1.36,8.08,6.089,5.982,-0.02,HD 72659,1.0
5688.0,8.79,1.02,G5V,,1.22,,,,0.25,HD 72892,1.0
5570.0,8.08,1.05,G8/K0,6.719,0.89,8.84,6.376,6.264,0.29,HD 73256,1.0
5317,8.87,0.89,G5V,7.493,1.04,9.66,7.126,7.062,0.03,HD 73267,1.0
5590.0,9,1.08,G6 V,7.708,1.49,9.69,7.47,7.302,0.25,HD 73526,2.0
4952,8.24,1.170,G5IV,6.524,2.65,9.21,6.072,5.962,0.16,HD 73534,1.0
6068,7.61,1.238,G0,6.56,1.345,8.194,6.28,6.21,0.131,HD 74156,2.0
6024.0,7.5,1.05,F8V,6.425,1.01,8.08,6.179,6.084,-0.11,HD 7449 A,2.0
3000,,0.15,M4.5,12.24,,,11.29,10.93,,HD 7449 B,0.0
,6.35,1.05,G0 V,5.38,1.25,6.94,5.13,5.06,0.29,HD 75289 A,1.0
,,0.14,M3.5V,,,,,,,HD 75289 B,0.0
4917,7.84,1.41,K3IV,6.092,3.3,8.84,5.626,5.502,0.25,HD 75784,1.0
6021.0,8.04,1.28,G0,6.925,1.6,8.67,6.738,6.662,0.27,HD 75898,1.0
5726.0,8.13,1,G6 V,6.911,1.33,8.88,6.613,6.5,0.14,HD 76700,1.0
5370.0,8.63,0.93,K0V,7.218,0.88,9.47,6.905,6.761,0.35,HD 77338,1.0
5075,7.185,0.832,K0V,5.618,0.7821,8.005,5.231,5.159,-0.15,HD 7924,3.0
5740.0,8.03,1.06,G5,6.851,,8.726,6.574,6.530,0.24,HD 79498,1.0
5370,9.00,0.98,G5,7.702,0.978,9.78,7.400,7.316,0.43,HD 80606,1.0
,,1,G5,,,,,,,HD 80607,0.0
,9.452,1.18,G2,8.315,1.22,,8.079,8.018,,HD 80653,1.0
5700.0,7.72,0.96,G2/G3,6.505,0.86,8.370,6.268,6.159,-0.16,HD 81040,1.0
4753,5.413,2.1,K0III-IV,,13,6.396,,,-0.359,HD 81688,1.0
4140.00,4.300,4.30,K3III,1.698,83.80,,0.890,0.779,-0.170,HD 81817,1.0
5112.0,7.78,1.06,G0,5.995,4.8,8.493,5.563,5.452,-0.31,HD 82886,1.0
5874.0,6.54,1.13,G0,,1.12,7.17,,,0.32,HD 82943,2.0
4914.00,8.760,0.80,K2V,7.052,,,6.587,6.504,,HD 8326,1.0
5460.0,8.23,0.9,K0 V,6.876,1.04,9.03,6.585,6.444,0.35,HD 83443,1.0
6136.0,7.7,1.13,G0V,6.735,1.19,8.25,6.449,6.354,0.02,HD 8535,1.0
5186.0,8.54,0.76,K1V,7.012,,9.40,6.612,6.491,-0.07,HD 85390,1.0
4715.0,7.67,0.69,K5V,5.451,,8.83,4.998,4.717,-0.33,HD 85512,1.0
6080.0,7.12,1.17,F8,6.05,1.37,7.684,5.82,5.78,0.05,HD 8574,1.0
6028.0,8.73,1.21,F8V,7.628,1.22,9.34,7.425,7.299,0.257,HD 86081,1.0
5940.0,7.93,1.06,G2V,6.839,1.02,8.563,6.577,6.463,0.05,HD 86226,1.0
6210.0,7.42,1.42,F7V,6.505,1.88,7.92,6.344,6.224,0.202,HD 86264,1.0
6413.0,7.57,1.312,F7 V,5.44,1.54,6.78,5.22,5.17,,HD 8673 A,1.0
,,,,10.00,,,9.42,9.29,,HD 8673 B,0.0
4805.0,7.46,1.66,K1 III,,8.8,8.55,,,0.04,HD 86950,1.0
4980.0,7.57,0.82,K0V,5.839,0.76,8.54,5.441,5.314,0.093,HD 87883,1.0
5494.0,8.01,1.2,G5 IV,6.60,1.93,8.88,6.30,6.20,0.34,HD 88133,1.0
5950.0,7.06,1.028,G0V,5.89,1.05,7.590,5.64,5.56,-0.14,HD 89307,1.0
,5.74,1.4,F7 V,4.86,2.14,6.232,4.53,4.454,0.18,HD 89744 A,1.0
,,0.077,L0V,,,,,,,HD 89744 B,0.0
5599.0,6.95,0.84,G5V,5.685,,7.603,5.382,5.245,-0.24,HD 90156,1.0
5577.0,8.37,1.03,G8IV,,1.67,,,,0.39,HD 9174,1.0
5559.0,7.31,1.13,G5,6.131,0.99,8.01,5.798,5.721,0.32,HD 92788,1.0
5770.00,7.030,1.08,G2/G3V,5.904,1.58,,5.613,5.517,-0.080,HD 92987,1.0
4995.0,8.3,0.7,K3 V,6.694,,9.27,6.26,6.132,0.15,HD 93083,1.0
5940.0,7.49,,G2V,6.405,,8.08,6.135,6.065,,HD 93385,2.0
5793.0,8.35,1,G5V,7.21,1,9.03,6.89,6.85,0.09,HD 9446,2.0
7609,7.36,1.7,A8,6.906,,7.60,6.867,6.789,,HD 95086,1.0
5002,7.95,1.38,K0 IV,6.240,4.9,8.897,5.775,5.626,0.05,HD 95089,2.0
4218,8.15,1.20,K0,5.855,20,9.43,5.215,5.022,-0.18,HD 95127,1.0
5212.00,8.611,0.83,K0.5V,7.099,0.87,,6.729,6.591,0.040,HD 95338,1.0
5940.0,8.21,1.12,G1V,7.156,,8.788,6.89,6.798,0.11,HD 9578,1.0
5312,9.895,0.95,K0V,8.406,,10.722,8.040,7.956,0.41,HD 95872,1.0
5148.0,8.37,1.02,K0,6.607,4.5,9.09,6.151,6.050,-0.30,HD 96063,1.0
4152,7.407,0.91,K2III,4.887,35,8.924,4.124,3.911,-0.24,HD 96127,1.0
5770.0,8.09,1.31,G5D,6.926,1.86,8.82,6.621,6.554,0.34,HD 96167,1.0
5940.0,6.5,,G0V,5.396,,7.11,5.114,4.995,,HD 96700,2.0
10000.00,8.447,2.40,Be9.5/AO,7.267,2.25,,6.665,5.941,,HD 97048,1.0
5119.0,7.714,0.77,K1V,6.203,0.741,8.569,5.821,5.734,-0.23,HD 97658,1.0
4992.0,8.21,1.30,K0,6.420,4.5,8.992,5.913,5.813,-0.02,HD 98219,1.0
6315.0,7.32,1.2,F7V,,,,,,,HD 984,1.0
5759,8.03,1.00,G4V,6.811,1.0,8.646,6.493,6.419,0.02,HD 98649,1.0
5272.0,9.1,0.93,K0,7.626,,9.96,7.259,7.162,0.315,HD 99109,1.0
4932.0,7.81,1.72,K0,5.918,5.4,8.646,5.472,5.335,0.14,HD 99706,2.0
4945,5.628,2.42,K1III,3.942,11.6,6.632,3.366,3.292,0.03,HIP 107773,1.0
5180,9.63,0.78,G5,8.157,,10.42,7.787,7.652,-0.26,HIP 109384,1.0
5530,9.158,0.87,G5,7.881,,9.903,7.511,7.499,-0.12,HIP 109600,1.0
5089,10.19,0.775,K0,8.604,0.716,11.10,8.140,8.029,-0.16,HIP 116454,1.0
5760,8.58,0.993,,7.426,,9.24,7.137,7.072,-0.059,HIP 11915,1.0
6040.0,9.78,0.83,F2V,8.790,1.6,10.18,8.516,8.457,-1.9,HIP 11952,2.0
3840.0,10.31,0.67,M0V,7.558,,11.651,6.927,6.736,-0.07,HIP 12961,1.0
6025.0,9.94,0.8,F2,8.849,6.7,10.426,8.586,8.512,-2.09,HIP 13044,1.0
5485.0,8.52,0.99,G5,7.202,1,9.26,6.964,6.828,0.26,HIP 14810,3.0
4881.00,9.010,0.79,K2V,7.263,,,6.803,6.674,,HIP 35173,1.0
6199.0,8.92,1.15,,,1.4,9.42,,,-0.11,HIP 41378,5.0
4962.0,10.21,0.78,K5V,8.28,,11.29,7.775,7.669,0.1,HIP 5158,2.0
4021.00,10.380,0.57,K5V,7.449,,,6.853,6.620,,HIP 54373,2.0
3190.0,11.9,0.34,M4V,7.608,0.4,13.36,7.069,6.822,0.32,HIP 57050,1.0
4640.0,8.96,0.73,K5V,6.958,0.68,10.09,6.408,6.286,0.09,HIP 57274,3.0
4839,6.86,1.54,G8III,5.045,,7.90,4.581,4.406,-0.31,HIP 63242,1.0
5460,9.42,0.93,K0,7.963,,10.20,7.648,7.578,0.25,HIP 65407,2.0
8840.0,,1.96,A2V,,1.77,,,,,HIP 65426,1.0
5000,6.77,2.5,K0III,5.115,8.93,7.78,4.689,4.453,0.16,HIP 65891,1.0
